年月,電子支付機構名稱,使用者人數,當月代理收付實質交易款項金額(千元),當月帳戶間款項移轉或國內外小額匯兌金額(千元),欄位說明,當月收受儲值款項金額(千元),儲值款項餘額(千元),代理收付款項餘額(千元),各類款項餘額合計(千元)
107年04月,上海商業儲蓄銀行,1,0,0,帳戶間款項移轉,0,,,3
107年04月,中國信託商業銀行,286041,25307,0,帳戶間款項移轉,164,,,53331
107年04月,中華郵政公司,11918,26363,0,帳戶間款項移轉,0,,,2
107年04月,元大商業銀行,715,52198,0,帳戶間款項移轉,0,,,2804
107年04月,兆豐國際商業銀行,1061,18428,0,帳戶間款項移轉,0,,,4440
107年04月,台北富邦商業銀行,141,6526,0,帳戶間款項移轉,0,,,1134
107年04月,台新國際商業銀行,4765,295835,0,帳戶間款項移轉,0,,,4802
107年04月,台灣電子支付股份有限公司,6995,262,1,帳戶間款項移轉,1,,,790
107年04月,合作金庫商業銀行,2364,9976,0,帳戶間款項移轉,0,,,0
107年04月,國泰世華商業銀行,1004,11078,0,帳戶間款項移轉,0,,,0
107年04月,國際連股份有限公司,19849,87,132,帳戶間款項移轉,172,,,1522
107年04月,彰化商業銀行,10233,10971,0,帳戶間款項移轉,115,,,1695
107年04月,智付寶股份有限公司,13413,424,33,帳戶間款項移轉,182,,,477
107年04月,橘子支行動支付股份有限公司,53034,2507,215,帳戶間款項移轉,2347,,,6276
107年04月,歐付寶電子支付股份有限公司,729700,62338,37330,帳戶間款項移轉,7116,,,111639
107年04月,永豐商業銀行,306208,10388,0,帳戶間款項移轉,0,,,5772
107年04月,玉山商業銀行,650723,1360759,0,帳戶間款項移轉,0,,,72669
107年04月,第一商業銀行,20504,13514,0,帳戶間款項移轉,0,,,3985
107年04月,臺灣中小企業銀行,979,1634,0,帳戶間款項移轉,0,,,9
107年04月,臺灣土地銀行,2128,2164,0,帳戶間款項移轉,0,,,103
107年04月,臺灣新光商業銀行,267,31511,0,帳戶間款項移轉,0,,,3269
107年04月,臺灣銀行,11141,3705,0,帳戶間款項移轉,0,,,3705
107年04月,華南商業銀行,1067,10718,0,帳戶間款項移轉,0,,,1387
107年04月,街口電子支付股份有限公司,293600,206966,25192,帳戶間款項移轉,64734,,,133306
107年04月,遠東國際商業銀行,39,13838,0,帳戶間款項移轉,0,,,0
107年04月,陽信商業銀行,3201,51,0,帳戶間款項移轉,0,,,24
107年05月,上海商業儲蓄銀行,1,0,0,帳戶間款項移轉,0,,,3
107年05月,中國信託商業銀行,289756,28375,0,帳戶間款項移轉,213,,,52955
107年05月,中華郵政公司,12678,27766,0,帳戶間款項移轉,0,,,2
107年05月,元大商業銀行,729,39992,0,帳戶間款項移轉,0,,,1059
107年05月,兆豐國際商業銀行,1075,16443,0,帳戶間款項移轉,0,,,3867
107年05月,台北富邦商業銀行,142,7028,0,帳戶間款項移轉,0,,,767
