yr,mn,ym,sn,cardname,b,d,editable,b2,c,c2,d2,k,k2,l,l2,n,n2,n_tot,n2_tot,p,p2,p_tot,p2_tot,機構名稱,資料月份,卡片名稱,發卡總數,流通卡數,當月發卡數,當月停卡數,當月贖回金額,當月偽冒停卡張數,當年度累計偽冒停卡張數,當月偽冒損失金額,當年度累計偽冒損失金額,維護部門名稱,主管姓名,主管電話,承辦人姓名,承辦人電話,承辦人E-MAIL,e,e2,f,f2,g,g2,h,h2,i,i2,j,j2,m,m2,當月儲(加)值金額,當月儲(加)值卡數,當月儲(加)值次數,當月消費金額,當月消費卡數,當月消費次數,儲值總餘額
115,2,115/02,3,一卡通,56226184,364748,false,55306056,41633959,40715127,364748,200961,200961,11032386,11032386,4,4,9,9,0,0,427,427,一卡通票證股份有限公司,115 年 02 月,一卡通,56226184,41633959,364748,200961,11032386,4,9,0,427,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
115,1,115/01,3,一卡通,55861436,354648,false,54941308,41470172,40551340,354648,210374,210374,18151334,18151334,5,5,5,5,427,427,427,427,一卡通票證股份有限公司,115 年 01 月,一卡通,55861436,41470172,354648,210374,18151334,5,5,427,427,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
114,12,114/12,3,一卡通,55506788,301893,false,54586660,41325898,40407066,301893,280121,280121,40222769,40222769,1,1,98,98,0,0,86275,86275,一卡通票證股份有限公司,114 年 12 月,一卡通,55506788,41325898,301893,280121,40222769,1,98,0,86275,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
114,11,114/11,3,一卡通,55204895,340975,false,54284767,41304126,40385294,340975,219946,219946,12922809,12922809,2,2,97,97,0,0,86275,86275,一卡通票證股份有限公司,114 年 11 月,一卡通,55204895,41304126,340975,219946,12922809,2,97,0,86275,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
114,10,114/10,3,一卡通,54863920,404676,false,53943792,41183097,40264265,404676,220247,220247,11040836,11040836,5,5,95,95,24,24,86275,86275,一卡通票證股份有限公司,114 年 10 月,一卡通,54863920,41183097,404676,220247,11040836,5,95,24,86275,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
114,9,114/09,3,一卡通,54459244,319801,false,53539116,40998668,40079836,319801,212196,212196,12165425,12165425,4,4,90,90,5100,5100,86251,86251,一卡通票證股份有限公司,114 年 09 月,一卡通,54459244,40998668,319801,212196,12165425,4,90,5100,86251,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
114,8,114/08,3,一卡通,54139443,405062,false,53219315,40891063,39972231,405062,221699,221699,13038183,13038183,4,4,86,86,26924,26924,81151,81151,一卡通票證股份有限公司,114 年 08 月,一卡通,54139443,40891063,405062,221699,13038183,4,86,26924,81151,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
114,7,114/07,3,一卡通,53734381,465159,false,52814253,40707700,39788868,465159,235974,235974,12203942,12203942,8,8,82,82,22,22,54227,54227,一卡通票證股份有限公司,114 年 07 月,一卡通,53734381,40707700,465159,235974,12203942,8,82,22,54227,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
114,6,114/06,3,一卡通,53269222,203655,false,52349094,40478515,39559683,203655,207814,207814,16549271,16549271,1,1,74,74,0,0,54205,54205,一卡通票證股份有限公司,114 年 06 月,一卡通,53269222,40478515,203655,207814,16549271,1,74,0,54205,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
114,5,114/05,3,一卡通,53065567,360128,false,52145439,40482674,39563842,359928,206324,206324,8879068,8879068,4,4,73,73,20,20,54205,54205,一卡通票證股份有限公司,114 年 05 月,一卡通,53065567,40482674,360128,206324,8879068,4,73,20,54205,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
