yr,mn,ym,c1,c2,editable,[0].amt,[1].amt,[2].amt,[3].amt,[4].amt,3000A,[5].amt,[6].amt,機構名稱,電子支付帳戶戶數,不具跨機構間國內外小額匯兌功能,第二類電子支付帳戶,第三類電子支付帳戶,總計,電子支付帳戶使用者人數,可從事與境外機構合作或協助從事電子支付機構業務相關行為交易之使用者人數,維護部門名稱,主管姓名,主管電話,承辦人姓名,承辦人電話,承辦人E-MAIL,1900A,2900A,資料月份,項目,代理收付實質交易款項、收受儲值款項、電子支付帳戶間款項移轉業務,小計,與境外機構合作或協助從事電子支付機構業務相關行為,符合第二類電子支付帳戶之認證程序,符合第三類電子支付帳戶之認證程序
115,2,115/02,7195986,7195986,false,0,1338,1735359,5459289,0,7195986,7195986,7032755,一卡通票證股份有限公司,第一類電子支付帳戶,5459289,具跨機構間國內外小額匯兌功能,0,7195986,開立電子支付帳戶之使用者人數,7032755,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
115,1,115/01,7165818,7165818,false,0,1334,1718373,5446111,0,7165818,7165818,7001916,一卡通票證股份有限公司,第一類電子支付帳戶,5446111,具跨機構間國內外小額匯兌功能,0,7165818,開立電子支付帳戶之使用者人數,7001916,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
114,12,114/12,7156026,7156026,false,0,1332,1710379,5444315,0,7156026,7156026,6983119,一卡通票證股份有限公司,第一類電子支付帳戶,5444315,具跨機構間國內外小額匯兌功能,0,7156026,開立電子支付帳戶之使用者人數,6983119,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
114,11,114/11,7133559,7133559,false,0,1329,1632549,5499681,0,7133559,7133559,6960854,一卡通票證股份有限公司,第一類電子支付帳戶,5499681,具跨機構間國內外小額匯兌功能,0,7133559,開立電子支付帳戶之使用者人數,6960854,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
114,10,114/10,7109281,7109281,false,0,1317,1599546,5508418,0,7109281,7109281,6935695,一卡通票證股份有限公司,第一類電子支付帳戶,5508418,具跨機構間國內外小額匯兌功能,0,7109281,開立電子支付帳戶之使用者人數,6935695,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
114,9,114/09,7080405,7080405,false,0,1298,1573317,5505790,0,7080405,7080405,6907116,一卡通票證股份有限公司,第一類電子支付帳戶,5505790,具跨機構間國內外小額匯兌功能,0,7080405,開立電子支付帳戶之使用者人數,6907116,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
114,8,114/08,7048199,7048199,false,0,1293,1546148,5500758,0,7048199,7048199,6874185,一卡通票證股份有限公司,第一類電子支付帳戶,5500758,具跨機構間國內外小額匯兌功能,0,7048199,開立電子支付帳戶之使用者人數,6874185,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
114,7,114/07,7016659,7016659,false,0,1273,1517654,5497732,0,7016659,7016659,6842983,一卡通票證股份有限公司,第一類電子支付帳戶,5497732,具跨機構間國內外小額匯兌功能,0,7016659,開立電子支付帳戶之使用者人數,6842983,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
114,6,114/06,6980934,6980934,false,0,1261,1475667,5504006,0,6980934,6980934,6807625,一卡通票證股份有限公司,第一類電子支付帳戶,5504006,具跨機構間國內外小額匯兌功能,0,6980934,開立電子支付帳戶之使用者人數,6807625,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
114,5,114/05,6941973,6941973,false,0,1238,1447343,5493392,0,6941973,6941973,6769503,一卡通票證股份有限公司,第一類電子支付帳戶,5493392,具跨機構間國內外小額匯兌功能,0,6941973,開立電子支付帳戶之使用者人數,6769503,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
114,4,114/04,6903178,6903178,false,0,1228,1419042,5482908,0,6903178,6903178,6731239,一卡通票證股份有限公司,第一類電子支付帳戶,5482908,具跨機構間國內外小額匯兌功能,0,6903178,開立電子支付帳戶之使用者人數,6731239,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
114,3,114/03,6866307,6866307,false,0,1217,1389931,5475159,0,6866307,6866307,6695093,一卡通票證股份有限公司,第一類電子支付帳戶,5475159,具跨機構間國內外小額匯兌功能,0,6866307,開立電子支付帳戶之使用者人數,6695093,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
114,2,114/02,6823897,6823897,false,0,1201,1360916,5461780,0,6823897,6823897,6654135,一卡通票證股份有限公司,第一類電子支付帳戶,5461780,具跨機構間國內外小額匯兌功能,0,6823897,開立電子支付帳戶之使用者人數,6654135,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
114,1,114/01,6774615,6774615,false,0,1184,1332353,5441078,0,6774615,6774615,6605548,一卡通票證股份有限公司,第一類電子支付帳戶,5441078,具跨機構間國內外小額匯兌功能,0,6774615,開立電子支付帳戶之使用者人數,6605548,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
113,12,113/12,6684320,6684320,false,0,1165,1298305,5384850,0,6684320,6684320,6516426,一卡通票證股份有限公司,第一類電子支付帳戶,5384850,具跨機構間國內外小額匯兌功能,0,6684320,開立電子支付帳戶之使用者人數,6516426,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
113,11,113/11,6639696,6639696,false,0,1141,1262809,5375746,0,6639696,6639696,6473027,一卡通票證股份有限公司,第一類電子支付帳戶,5375746,具跨機構間國內外小額匯兌功能,0,6639696,開立電子支付帳戶之使用者人數,6473027,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
113,10,113/10,6597430,6597430,false,0,1118,1227319,5368993,0,6597430,6597430,6432236,一卡通票證股份有限公司,第一類電子支付帳戶,5368993,具跨機構間國內外小額匯兌功能,0,6597430,開立電子支付帳戶之使用者人數,6432236,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
113,9,113/09,6552346,6552346,false,0,1102,1194724,5356520,0,6552346,6552346,0,一卡通票證股份有限公司,第一類電子支付帳戶,5356520,具跨機構間國內外小額匯兌功能,0,6552346,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
113,8,113/08,6501946,6501946,false,0,1087,1327896,5172963,0,6501946,6501946,0,一卡通票證股份有限公司,第一類電子支付帳戶,5172963,具跨機構間國內外小額匯兌功能,0,6501946,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
113,7,113/07,6448719,6448719,false,0,1071,1293892,5153756,0,6448719,6448719,0,一卡通票證股份有限公司,第一類電子支付帳戶,5153756,具跨機構間國內外小額匯兌功能,0,6448719,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
113,6,113/06,6403013,6403013,false,0,1046,1262165,5139802,0,6403013,6403013,0,一卡通票證股份有限公司,第一類電子支付帳戶,5139802,具跨機構間國內外小額匯兌功能,0,6403013,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
113,5,113/05,6361749,6361749,false,0,1024,1231444,5129281,0,6361749,6361749,0,一卡通票證股份有限公司,第一類電子支付帳戶,5129281,具跨機構間國內外小額匯兌功能,0,6361749,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
113,4,113/04,6317427,6317427,false,0,996,1200678,5115753,0,6317427,6317427,0,一卡通票證股份有限公司,第一類電子支付帳戶,5115753,具跨機構間國內外小額匯兌功能,0,6317427,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
113,3,113/03,6276043,6276043,false,0,972,1171514,5103557,0,6276043,6276043,0,一卡通票證股份有限公司,第一類電子支付帳戶,5103557,具跨機構間國內外小額匯兌功能,0,6276043,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
113,2,113/02,6227388,6227388,false,0,955,1138757,5087676,0,6227388,6227388,0,一卡通票證股份有限公司,第一類電子支付帳戶,5087676,具跨機構間國內外小額匯兌功能,0,6227388,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
113,1,113/01,6120471,6120471,false,0,909,1101098,5018464,0,6120471,6120471,0,一卡通票證股份有限公司,第一類電子支付帳戶,5018464,具跨機構間國內外小額匯兌功能,0,6120471,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
112,12,112/12,6070995,6070995,false,0,887,1067604,5002504,0,6070995,6070995,0,一卡通票證股份有限公司,第一類電子支付帳戶,5002504,具跨機構間國內外小額匯兌功能,0,6070995,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
112,11,112/11,6022807,6022807,false,0,875,1030857,4991075,0,6022807,6022807,0,一卡通票證股份有限公司,第一類電子支付帳戶,4991075,具跨機構間國內外小額匯兌功能,0,6022807,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
112,10,112/10,5978176,5978176,false,0,844,994639,4982693,0,5978176,5978176,0,一卡通票證股份有限公司,第一類電子支付帳戶,4982693,具跨機構間國內外小額匯兌功能,0,5978176,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
112,9,112/09,5960039,5960039,false,0,837,961763,4997439,0,5960039,5960039,0,一卡通票證股份有限公司,第一類電子支付帳戶,4997439,具跨機構間國內外小額匯兌功能,0,5960039,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
112,8,112/08,5906730,5906730,false,0,829,931525,4974376,0,5906730,5906730,0,一卡通票證股份有限公司,第一類電子支付帳戶,4974376,具跨機構間國內外小額匯兌功能,0,5906730,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
112,7,112/07,5852009,5852009,false,0,823,900587,4950599,0,5852009,5852009,0,一卡通票證股份有限公司,第一類電子支付帳戶,4950599,具跨機構間國內外小額匯兌功能,0,5852009,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
112,6,112/06,5804784,5804784,false,0,854,870160,4933770,0,5804784,5804784,0,一卡通票證股份有限公司,第一類電子支付帳戶,4933770,具跨機構間國內外小額匯兌功能,0,5804784,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
112,5,112/05,5757518,5757518,false,0,846,834494,4922178,0,5757518,5757518,0,一卡通票證股份有限公司,第一類電子支付帳戶,4922178,具跨機構間國內外小額匯兌功能,0,5757518,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
112,4,112/04,5707380,5707380,false,0,839,781579,4924962,0,5707380,5707380,0,一卡通票證股份有限公司,第一類電子支付帳戶,4924962,具跨機構間國內外小額匯兌功能,0,5707380,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
112,3,112/03,5648232,5648232,false,0,855,734785,4912592,0,5648232,5648232,0,一卡通票證股份有限公司,第一類電子支付帳戶,4912592,具跨機構間國內外小額匯兌功能,0,5648232,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
112,2,112/02,5580436,5580436,false,0,847,687774,4891815,0,5580436,5580436,0,一卡通票證股份有限公司,第一類電子支付帳戶,4891815,具跨機構間國內外小額匯兌功能,0,5580436,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
112,1,112/01,5514193,5514193,false,0,839,644871,4868483,0,5514193,5514193,0,一卡通票證股份有限公司,第一類電子支付帳戶,4868483,具跨機構間國內外小額匯兌功能,0,5514193,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
