yr,mn,ym,c1,c2,c3,editable,[0].amt,[1].amt,[2].amt,[3].amt,[4].amt,[5].amt,[6].amt,[7].amt,[8].amt,[9].amt,[10].amt,[11].amt,[12].amt,[13].amt,[14].amt,_1900A,_1900B,_1900C,[15].amt,[16].amt,[17].amt,[18].amt,[19].amt,[20].amt,_2900A,_2900B,_2900C,[21].amt,[22].amt,[23].amt,[24].amt,[25].amt,[26].amt,_3900A,_3900B,_3900C,_4900A,_4900B,_4900C,機構名稱,使用者類別,電子支付帳戶,非個人使用者,法人,行號,其他團體,小計 (A),外國籍使用者(含取得居留證者),非個人使用者(限法人),小計 (B),大陸地區以外,小計 (C),總計 (D = A + B + C),維護部門名稱,主管姓名,主管電話,承辦人姓名,承辦人電話,承辦人E-MAIL,[27].amt,[28].amt,[29].amt,[30].amt,[31].amt,[32].amt,[33].amt,[34].amt,[35].amt,[36].amt,[37].amt,[38].amt,[39].amt,[40].amt,[41].amt,_5900A,_5900B,_5900C,[42].amt,[43].amt,[44].amt,[45].amt,[46].amt,[47].amt,_6900A,_6900B,_6900C,[48].amt,[49].amt,[50].amt,[51].amt,[52].amt,[53].amt,_7900A,_7900B,_7900C,_8900A,_8900B,_8900C,資料月份,所有使用者(含與境外機構合作或協助從事電子支付機構業務相關行為客戶),本業使用者(不含與境外機構合作或協助從事電子支付機構業務相關行為客戶),小計 (a),小計 (b),小計 (c),總計 (d = a + b + c)
115,2,115/02,7195986,5756586,9012217316,false,7032755,5737228,8987536059,247,1,700,42356,1566,3132000,78025,0,0,1331,0,0,7154714,5738795,8990668759,12774,5153,6181950,0,0,0,12774,5153,6181950,28498,12638,15366607,0,0,0,28498,12638,15366607,7195986,5756586,9012217316,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,42356,78025,1331,7154714,大陸地區,0,12774,個人使用者,28498,7195986,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1,115/01,7165818,5721309,9732557295,false,7001916,5697539,9705850895,246,54,23650,42504,0,0,78533,0,0,1331,0,0,7124530,5697593,9705874545,12792,6686,8767078,0,0,0,12792,6686,8767078,28496,17030,17915672,0,0,0,28496,17030,17915672,7165818,5721309,9732557295,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,42504,78533,1331,7124530,大陸地區,0,12792,個人使用者,28496,7165818,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,12,114/12,7156026,13711432,18012958535,false,6983119,13660674,17954221941,246,6,2880,44359,1,6,85638,0,0,1332,0,0,7114694,13660681,17954224827,12820,17192,20417302,0,0,0,12820,17192,20417302,28512,33559,38316406,0,0,0,28512,33559,38316406,7156026,13711432,18012958535,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,44359,85638,1332,7114694,大陸地區,0,12820,個人使用者,28512,7156026,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,11,114/11,7133559,31431925,35791802250,false,6960854,31329762,35698612689,245,5,1980,44309,1,38,85564,0,0,1330,0,0,7092302,31329768,35698614707,12816,34232,33767202,0,0,0,12816,34232,33767202,28441,67925,59420341,0,0,0,28441,67925,59420341,7133559,31431925,35791802250,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,44309,85564,1330,7092302,大陸地區,0,12816,個人使用者,28441,7133559,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,10,114/10,7109281,31677548,35421524342,false,6935695,31574826,35334217777,244,5,2100,44299,1,1000,86777,0,0,1330,0,0,7068345,31574832,35334220877,12761,33864,31361300,0,0,0,12761,33864,31361300,28175,68852,55942165,0,0,0,28175,68852,55942165,7109281,31677548,35421524342,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,44299,86777,1330,7068345,大陸地區,0,12761,個人使用者,28175,7109281,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,9,114/09,7080405,31805477,35766019008,false,6907116,31708681,35680273238,244,6,2580,44286,1,3,86891,0,0,1330,0,0,7039867,31708688,35680275821,12705,32214,30205315,0,0,0,12705,32214,30205315,27833,64575,55537872,0,0,0,27833,64575,55537872,7080405,31805477,35766019008,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,44286,86891,1330,7039867,大陸地區,0,12705,個人使用者,27833,7080405,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,8,114/08,7048199,32634304,35845950057,false,6874185,32509121,35739915683,243,11,3750,44440,0,0,87706,0,0,1330,0,0,7007904,32509132,35739919433,12799,40709,38162262,0,0,0,12799,40709,38162262,27496,84463,67868362,0,0,0,27496,84463,67868362,7048199,32634304,35845950057,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,44440,87706,1330,7007904,大陸地區,0,12799,個人使用者,27496,7048199,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,7,114/07,7016659,32894353,36242693688,false,6842983,32744607,36122440556,243,123,85862,44402,117,191000,87625,0,0,1327,0,0,6976580,32744847,36122717418,12800,50609,45173271,0,0,0,12800,50609,45173271,27279,98897,74802999,0,0,0,27279,98897,74802999,7016659,32894353,36242693688,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,44402,87625,1327,6976580,大陸地區,0,12800,個人使用者,27279,7016659,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,6,114/06,6980934,32506143,35515956568,false,6807625,32440986,35497845503,241,7,2760,44284,114,207000,87794,0,0,1321,0,0,6941265,32441107,35498055263,12759,20734,6087559,0,0,0,12759,20734,6087559,26910,44302,11813746,0,0,0,26910,44302,11813746,6980934,32506143,35515956568,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,44284,87794,1321,6941265,大陸地區,0,12759,個人使用者,26910,6980934,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,5,114/05,6941973,32747928,36056813011,false,6769503,32680915,36037217019,237,60,69066,44080,100,184000,87565,0,0,1312,0,0,6902697,32681075,36037470085,12656,21470,6284757,0,0,0,12656,21470,6284757,26620,45383,13058169,0,0,0,26620,45383,13058169,6941973,32747928,36056813011,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,44080,87565,1312,6902697,大陸地區,0,12656,個人使用者,26620,6941973,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
