資料月份,筆數,交易金額,本年度累計筆數,本年度累計交易金額
115/02,5756586,9012217316,11477895,18744774611
115/01,5721309,9732557295,5721309,9732557295
114/12,13711432,18012958535,360190781,413609579456
114/11,31431925,35791802250,346479349,395596620921
114/10,31677548,35421524342,315047424,359804818671
114/09,31805477,35766019008,283369876,324383294329
114/08,32634304,35845950057,251564399,288617275321
114/07,32894353,36242693688,218930095,252771325264
114/06,32506143,35515956568,186035742,216528631576
114/05,32747928,36056813011,153529599,181012675008
114/04,30895960,34964936164,120781671,144955861997
114/03,31620257,36148869506,89885711,109990925833
114/02,27389143,33261654693,58265454,73842056327
114/01,30876311,40580401634,30876311,40580401634
113/12,30384995,35659579130,316292977,403168723292
113/11,28583869,33712133954,285907982,367509144162
113/10,27736925,33879415045,257324113,333797010208
113/09,27175696,33237402493,229587188,299917595163
113/08,27791667,35267161429,202411492,266680192670
113/07,26536579,34776922285,174619825,231413031241
113/06,25687140,32857739895,148083246,196636108956
113/05,26605786,33444190262,122396106,163778369061
113/04,24422876,31788120551,95790320,130334178799
113/03,25030885,32879140983,71367444,98546058248
113/02,22732207,32962742950,46336559,65666917265
113/01,23604352,32704174315,23604352,32704174315
112/12,23565666,30144974859,242724153,356432213924
112/11,22062020,28881567447,219158487,326287239065
112/10,21421639,28306663878,197096467,297405671618
112/09,20617425,27282384404,175674828,269099007740
112/08,20641922,27244933609,155057403,241816623336
112/07,19955839,26930525062,134415481,214571689727
112/06,19035074,25280988464,114459642,187641164665
112/05,19770794,27346684528,95424568,162360176201
112/04,19873167,34122395553,75653774,135013491673
112/03,20574268,35111599342,55780607,100891096120
112/02,17094801,30656604551,35206339,65779496778
112/01,18111538,35122892227,18111538,35122892227
111/12,17842939,30474039253,170206049,281462086699
111/11,16410488,27624456359,152363110,250988047446
111/10,15574919,26325718519,135952622,223363591087
111/09,14691920,25475648684,120377703,197037872568
111/08,14884200,25031548570,105685783,171562223884
111/07,14206400,23968095593,90801583,146530675314
111/06,12903592,21806574260,76595183,122562579721
111/05,13056372,21751847188,63691591,100756005461
111/04,12708084,20045567472,50635219,79004158273
111/03,13613828,20527421148,37927135,58958590801
111/02,10942146,16429845755,24313307,38431169653
111/01,13371161,22001323898,13371161,22001323898
110/12,12994463,18069758128,109809971,157639317325
110/11,13281202,17279390970,96815508,139569559197
110/10,13569038,16631431434,83534306,122290168227
110/09,9670437,14307276892,69965268,105658736793
110/08,10033277,14012679232,60294831,91351459901
110/07,9182227,13626037646,50261554,77338780669
110/06,7883045,12239276649,41079327,63712743023
110/05,7665334,12251865080,33196282,51473466374
110/04,7226304,10902572675,25530948,39221601294
110/03,6998844,10734786596,18304644,28319028619
110/02,5707601,8881175302,11305800,17584242023
110/01,5598199,8703066721,5598199,8703066721
109/12,5446436,8862315681,44314339,61383736296
109/11,5067644,7832870564,38867903,52521420615
109/10,4757692,6931269538,33800259,44688550051
109/09,4883246,7211500939,29042567,37757280513
109/08,4437182,6128728561,24159321,30545779574
109/07,4259069,5447603604,19722139,24417051013
109/06,3115499,4709744825,15463070,18969447409
109/05,3153761,4174122246,12347571,14259702584
109/04,2566172,3254985626,9193810,10085580338
109/03,2359964,2373223364,6627638,6830594712
109/02,2064020,2129067151,4267674,4457371348
109/01,2203654,2328304197,2203654,2328304197
108/12,2551232,2542718319,19744305,15698423558
108/11,2519040,2357511471,17193073,13155705239
108/10,1941563,1780419320,14674033,10798193768
108/09,1855588,1484952355,12732470,9017774448
108/08,1356046,1279122905,10876882,7532822093
108/07,1279019,1065919400,9520836,6253699188
108/06,1361443,916344802,8241817,5187779788
108/05,1284557,895525066,6880374,4271434986
108/04,1135116,819680650,5595817,3375909920
108/03,1043318,717870189,4460701,2556229270
108/02,2564437,1187103030,3417383,1838359081
108/01,852946,651256051,852946,651256051
107/12,794508,552907651,17189846,2298733261
107/11,755179,504480049,16395338,1745825610
107/10,685521,395713573,15640159,1241345561
107/09,14954638,845631988,14954638,845631988
