yr,mn,ym,sn,cardname,b,d,editable,_url,[0].amt,[1].amt,[2].amt,[3].amt,[4].amt,[5].amt,_3000A,_3000B,機構名稱,類別,第一類電子支付帳戶,第二類電子支付帳戶,第三類電子支付帳戶,總計,維護部門名稱,主管姓名,主管電話,承辦人姓名,承辦人電話,承辦人E-MAIL,_1900A,_1900B,[6].amt,[7].amt,[8].amt,[9].amt,[10].amt,[11].amt,_2900A,_2900B,項目,代理收付實質交易款項、收受儲值款項、電子支付帳戶間款項移轉業務,小計,與境外機構合作或協助從事電子支付機構業務相關行為,符合第二類電子支付帳戶之認證程序,符合第三類電子支付帳戶之認證程序
115,2,115/02,3,一卡通,56226184,364748,false,,1569,3138000,5755017,9009079316,0,0,5756586,9012217316,一卡通票證股份有限公司,筆數,1569,5755017,0,5756586,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,
115,1,115/01,3,一卡通,55861436,354648,false,,265,432420,5721044,9732124875,0,0,5721309,9732557295,一卡通票證股份有限公司,筆數,265,5721044,0,5721309,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,
114,12,114/12,3,一卡通,55506788,301893,false,,315,9863069,13711117,18003095466,0,0,13711432,18012958535,一卡通票證股份有限公司,筆數,315,13711117,0,13711432,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,
114,11,114/11,3,一卡通,55204895,340975,false,,314,8982563,31431611,35782819687,0,0,31431925,35791802250,一卡通票證股份有限公司,筆數,314,31431611,0,31431925,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,
114,10,114/10,3,一卡通,54863920,404676,false,,1892,10807230,31675656,35410717112,0,0,31677548,35421524342,一卡通票證股份有限公司,筆數,1892,31675656,0,31677548,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,
114,9,114/09,3,一卡通,54459244,319801,false,,312,8714135,31805165,35757304873,0,0,31805477,35766019008,一卡通票證股份有限公司,筆數,312,31805165,0,31805477,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,
114,8,114/08,3,一卡通,54139443,405062,false,,309,8682869,32633995,35837267188,0,0,32634304,35845950057,一卡通票證股份有限公司,筆數,309,32633995,0,32634304,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,
114,7,114/07,3,一卡通,53734381,465159,false,,427,8911929,32893926,36233781759,0,0,32894353,36242693688,一卡通票證股份有限公司,筆數,427,32893926,0,32894353,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,
114,6,114/06,3,一卡通,53269222,203655,false,,416,9597294,32505727,35506359274,0,0,32506143,35515956568,一卡通票證股份有限公司,筆數,416,32505727,0,32506143,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,
114,5,114/05,3,一卡通,53065567,360128,false,,1976,9922725,32745952,36046890286,0,0,32747928,36056813011,一卡通票證股份有限公司,筆數,1976,32745952,0,32747928,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,
