資料月份,筆數,交易金額
115/02,28423716,10074145013
115/01,31209402,10848738496
114/12,41324144,19238097846
114/11,57353753,36977314425
114/10,58225060,36632784473
114/09,57176139,36939518844
114/08,58453320,37081593064
114/07,57167522,37388544900
114/06,57618223,36614797416
114/05,59304971,37270921022
114/04,57415006,36165058606
114/03,58186838,37300142635
114/02,51311114,34287807154
114/01,56077473,41659593805
113/12,58425327,36843988401
113/11,54956963,34831530000
113/10,52423816,34958894404
113/09,52798958,34583015066
113/08,53888107,36410630502
113/07,50708338,35830459525
113/06,51279925,33933460354
113/05,53961087,34575678082
113/04,50465418,32902834640
113/03,53409714,34112102461
113/02,48496069,34117150890
113/01,50873328,33822217012
112/12,52364308,31335394582
112/11,49205634,29993560533
112/10,48761495,29456955174
112/09,46515403,28543870335
112/08,46968064,28494253958
112/07,45572992,28041052796
112/06,47818775,26443874607
112/05,51337590,28594579532
112/04,50089798,35331986619
112/03,53223325,36358392329
112/02,45537595,31778596279
112/01,46454429,36284904703
111/12,50906981,31765029100
111/11,47398334,28817997409
111/10,46128718,27521281259
111/09,43129662,26585775488
111/08,42552189,26173954691
111/07,39252388,25036498734
111/06,32437340,22687420352
111/05,33149728,22618045021
111/04,38912227,21085018190
111/03,45704882,21740406075
111/02,34517228,17396429269
111/01,40668597,23074137786
110/12,46181301,19348510610
110/11,43771692,18446387426
110/10,42469860,17776139136
110/09,32624408,15252725046
110/08,26805999,14839802244
110/07,19862417,14274231083
110/06,7883045,12239276649
110/05,7665334,12251865080
110/04,7226304,10902572675
110/03,6998844,10734786596
110/02,5707601,8881175302
110/01,5598199,8703066721
109/12,5446436,8862315681
109/11,5067644,7832870564
109/10,4757692,6931269538
109/09,4883246,7211500939
109/08,4437182,6128728561
109/07,4259069,5447603604
109/06,3115499,4709744825
109/05,3153761,4174122246
109/04,2566172,3254985626
109/03,2359964,2373223364
109/02,2064020,2129067151
109/01,2203654,2328304197
108/12,2551232,2542718319
108/11,2519040,2357511471
108/10,1941563,1780419320
108/09,1855588,1484952355
108/08,1356046,1279122905
108/07,1279019,1065919400
108/06,1361443,916344802
108/05,1284557,895525066
108/04,1135116,819680650
108/03,1043318,717870189
108/02,2564437,1187103030
108/01,852946,651256051
107/12,794508,552907651
107/11,750773,504480049
107/10,685521,395713573
107/09,14954638,845631988
