yr,mn,ym,c1,c2,c3,editable,_url,[0].amt,[1].amt,[2].amt,[3].amt,[4].amt,[5].amt,[6].amt,[7].amt,1100X,1100Y,[8].amt,[9].amt,[10].amt,[11].amt,[12].amt,[13].amt,1200X,1200Y,[14].amt,[15].amt,[16].amt,1510X,1510Y,[17].amt,[18].amt,[19].amt,1520X,1520Y,[20].amt,[21].amt,[22].amt,1610X,1610Y,[23].amt,[24].amt,[25].amt,1620X,1620Y,1999A,1999B,1999C,1999D,1999E,1999F,1999G,1999H,1999X,1999Y,機構名稱,交易類型,筆數,代理收付實質交易款項,收受儲值款項,辦理國內外小額匯兌,跨機構,國外小額匯兌,匯入款項,合計,維護部門名稱,主管姓名,主管電話,承辦人姓名,承辦人電話,承辦人E-MAIL,[26].amt,1400A,1400B,1400C,代理收付實質交易款項 (A),收受儲值款項 (B),電子支付帳戶間款項移轉 (C),與境外機構合作或協助相關電子支付機構業務(D),第4條第1項第1款業務 - outbound,第4條第1項第2款業務 - inbound,第4條第1項第3款業務 - inbound,第4條第1項第6款業務 - outbound,其他,小計,合計 (E=A+B+C+D)
115,2,115/02,7195986,5756586,9012217316,false,,3373270,1528627320,656220,20707237,512234551,2045980,0,0,24080507,2040861871,1641499,6175908216,589162,1959893,549693146,1071260,3601392,6725601362,658734,852172840,286455,658734,852172840,83083,455508940,31130,83083,455508940,0,0,0,0,0,0,0,0,0,0,5756586,9012217316,1562967,22667130,1061927697,3117240,0,0,28423716,10074145013,一卡通票證股份有限公司,電子支付帳戶,交易金額,3373270,1641499,國內小額匯兌,83083,匯出款項,0,5756586,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,
115,1,115/01,7165818,5721309,9732557295,false,,2461043,1420361705,706501,23466120,549261452,1981518,0,0,25927163,1969623157,1995548,6594885479,662047,2021973,566919749,1030564,4017521,7161805228,1155834,1172331582,430890,1155834,1172331582,108884,544978529,49906,108884,544978529,0,0,0,0,0,0,0,0,0,0,5721309,9732557295,1849344,25488093,1116181201,3012082,0,0,31209402,10848738496,一卡通票證股份有限公司,電子支付帳戶,交易金額,2461043,1995548,國內小額匯兌,108884,匯出款項,0,5721309,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,
114,12,114/12,7156026,13711432,18012958535,false,,3028840,1689629138,1046475,25402278,601088754,2049507,0,0,28431118,2290717892,4324775,9433695284,1427616,2210434,624050557,1109841,6535209,10057745841,6177042,6106274431,2007352,6177042,6106274431,180775,783359682,102768,180775,783359682,0,0,0,0,0,0,0,0,0,0,13711432,18012958535,4584211,27612712,1225139311,3159348,0,0,41324144,19238097846,一卡通票證股份有限公司,電子支付帳戶,交易金額,3028840,4324775,國內小額匯兌,180775,匯出款項,0,13711432,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,
114,11,114/11,7133559,31431925,35791802250,false,,11043212,4094601157,1781774,23833292,577325595,1974615,0,0,34876504,4671926752,8401463,18380642559,1981249,2088536,608186580,1049915,10489999,18988829139,11837903,12590529913,2541589,11837903,12590529913,149347,726028621,59861,149347,726028621,0,0,0,0,0,0,0,0,0,0,31431925,35791802250,6364473,25921828,1185512175,3024530,0,0,57353753,36977314425,一卡通票證股份有限公司,電子支付帳戶,交易金額,11043212,8401463,國內小額匯兌,149347,匯出款項,0,31431925,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,
114,10,114/10,7109281,31677548,35421524342,false,,11247269,3877615502,1759707,24421533,595499436,1995075,0,0,35668802,4473114938,8314041,18168606828,1960640,2125979,615760695,1066027,10440020,18784367523,11976729,12691170460,2551498,11976729,12691170460,139509,684131552,53447,139509,684131552,0,0,0,0,0,0,0,0,0,0,31677548,35421524342,6325292,26547512,1211260131,3061102,0,0,58225060,36632784473,一卡通票證股份有限公司,電子支付帳戶,交易金額,11247269,8314041,國內小額匯兌,139509,匯出款項,0,31677548,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,
114,9,114/09,7080405,31805477,35766019008,false,,11214941,3961565314,1756668,23383198,596019914,1890993,0,0,34598139,4557585228,8315242,18475309351,1960178,1987464,577479922,992827,10302706,19052789273,12142178,12665603893,2545342,12142178,12665603893,133116,663540450,52442,133116,663540450,0,0,0,0,0,0,0,0,0,0,31805477,35766019008,6314630,25370662,1173499836,2883820,0,0,57176139,36939518844,一卡通票證股份有限公司,電子支付帳戶,交易金額,11214941,8315242,國內小額匯兌,133116,匯出款項,0,31805477,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,
114,8,114/08,7048199,32634304,35845950057,false,,11597886,4071535803,1795087,23649158,627701342,1995877,0,0,35247044,4699237145,8544068,18389612626,1996067,2169858,607941665,1074398,10713926,18997554291,12360157,12750527545,2570560,12360157,12750527545,132193,634274083,53477,132193,634274083,0,0,0,0,0,0,0,0,0,0,32634304,35845950057,6415191,25819016,1235643007,3070275,0,0,58453320,37081593064,一卡通票證股份有限公司,電子支付帳戶,交易金額,11597886,8544068,國內小額匯兌,132193,匯出款項,0,32634304,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,
114,7,114/07,7016659,32894353,36242693688,false,,11652954,4139262509,1828151,22267311,578956187,1889514,0,0,33920265,4718218696,8530273,18596751245,1987943,2005858,566895025,998019,10536131,19163646270,12571600,12851699446,2630897,12571600,12851699446,139526,654980488,62044,139526,654980488,0,0,0,0,0,0,0,0,0,0,32894353,36242693688,6509035,24273169,1145851212,2887533,0,0,57167522,37388544900,一卡通票證股份有限公司,電子支付帳戶,交易金額,11652954,8530273,國內小額匯兌,139526,匯出款項,0,32894353,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,
114,6,114/06,6980934,32506143,35515956568,false,,11296814,3825105299,1738169,23131111,548325973,1910834,0,0,34427925,4373431272,8384495,18113503959,1968512,1980969,550514875,985389,10365464,18664018834,12708300,12994790184,2613276,12708300,12994790184,116534,582557126,48498,116534,582557126,0,0,0,0,0,0,0,0,0,0,32506143,35515956568,6368455,25112080,1098840848,2896223,0,0,57618223,36614797416,一卡通票證股份有限公司,電子支付帳戶,交易金額,11296814,8384495,國內小額匯兌,116534,匯出款項,0,32506143,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,
114,5,114/05,6941973,32747928,36056813011,false,,11537686,3985007734,1741816,24489048,567550277,1975001,0,0,36026734,4552558011,8399064,18492165936,1956689,2067995,646557734,1034747,10467059,19138723670,12695464,13009955918,2603454,12695464,13009955918,115714,569683423,48231,115714,569683423,0,0,0,0,0,0,0,0,0,0,32747928,36056813011,6350190,26557043,1214108011,3009748,0,0,59304971,37270921022,一卡通票證股份有限公司,電子支付帳戶,交易金額,11537686,8399064,國內小額匯兌,115714,匯出款項,0,32747928,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,
