yr,mn,ym,c1,c2,editable,_url,[0].amt,[1].amt,[2].amt,[3].amt,[4].amt,[5].amt,_1900A,_1900B,機構名稱,核准業務別,代理收付實質交易款項,收受儲值款項,電子支付帳戶間款項移轉,總計,維護部門名稱,主管姓名,主管電話,承辦人姓名,承辦人電話,承辦人E-MAIL
115,2,115/02,7195986,7195986,false,,,,,,,,,,,,,,,,,,,,,
115,1,115/01,7165818,7165818,false,,,,,,,,,,,,,,,,,,,,,
114,12,114/12,7156026,7156026,false,,,,,,,,,,,,,,,,,,,,,
114,11,114/11,7133559,7133559,false,,,,,,,,,,,,,,,,,,,,,
114,10,114/10,7109281,7109281,false,,,,,,,,,,,,,,,,,,,,,
114,9,114/09,7080405,7080405,false,,,,,,,,,,,,,,,,,,,,,
114,8,114/08,7048199,7048199,false,,,,,,,,,,,,,,,,,,,,,
114,7,114/07,7016659,7016659,false,,,,,,,,,,,,,,,,,,,,,
114,6,114/06,6980934,6980934,false,,,,,,,,,,,,,,,,,,,,,
114,5,114/05,6941973,6941973,false,,,,,,,,,,,,,,,,,,,,,
114,4,114/04,6903178,6903178,false,,,,,,,,,,,,,,,,,,,,,
114,3,114/03,6866307,6866307,false,,,,,,,,,,,,,,,,,,,,,
114,2,114/02,6823897,6823897,false,,,,,,,,,,,,,,,,,,,,,
114,1,114/01,6774615,6774615,false,,,,,,,,,,,,,,,,,,,,,
113,12,113/12,6684320,6684320,false,,,,,,,,,,,,,,,,,,,,,
113,11,113/11,6639696,6639696,false,,,,,,,,,,,,,,,,,,,,,
113,10,113/10,6597430,6597430,false,,,,,,,,,,,,,,,,,,,,,
113,9,113/09,6552346,6552346,false,,7013936,1180021336,0,0,1392,4779474,7015328,1184800810,一卡通票證股份有限公司,筆數,7013936,0,1392,7015328,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
113,8,113/08,6501946,6501946,false,,7035782,1212210591,0,0,1522,5081875,7037304,1217292466,一卡通票證股份有限公司,筆數,7035782,0,1522,7037304,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
113,7,113/07,6448719,6448719,false,,6742211,1156743458,0,0,1304,4460486,6743515,1161203944,一卡通票證股份有限公司,筆數,6742211,0,1304,6743515,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
113,6,113/06,6403013,6403013,false,,6583761,1120700112,0,0,1279,5134144,6585040,1125834256,一卡通票證股份有限公司,筆數,6583761,0,1279,6585040,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
113,5,113/05,6361749,6361749,false,,6740702,1100071473,0,0,1341,4306154,6742043,1104377627,一卡通票證股份有限公司,筆數,6740702,0,1341,6742043,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
113,4,113/04,6317427,6317427,false,,6222837,1030574368,0,0,1146,3712934,6223983,1034287302,一卡通票證股份有限公司,筆數,6222837,0,1146,6223983,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
113,3,113/03,6276043,6276043,false,,6199783,1035383961,0,0,1149,3386088,6200932,1038770049,一卡通票證股份有限公司,筆數,6199783,0,1149,6200932,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
113,2,113/02,6227388,6227388,false,,5229765,995347087,0,0,1088,3657956,5230853,999005043,一卡通票證股份有限公司,筆數,5229765,0,1088,5230853,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
113,1,113/01,6120471,6120471,false,,5404173,955008178,0,0,1128,3529841,5405301,958538019,一卡通票證股份有限公司,筆數,5404173,0,1128,5405301,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
112,12,112/12,6070995,6070995,false,,5566739,968649816,0,0,1130,3471581,5567869,972121397,一卡通票證股份有限公司,筆數,5566739,0,1130,5567869,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
112,11,112/11,6022807,6022807,false,,5307893,869914224,0,0,1017,3367628,5308910,873281852,一卡通票證股份有限公司,筆數,5307893,0,1017,5308910,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
112,10,112/10,5978176,5978176,false,,5284334,885332668,0,0,981,2678103,5285315,888010771,一卡通票證股份有限公司,筆數,5284334,0,981,5285315,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
112,9,112/09,5960039,5960039,false,,4952223,837803852,0,0,993,3779315,4953216,841583167,一卡通票證股份有限公司,筆數,4952223,0,993,4953216,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
112,8,112/08,5906730,5906730,false,,4924022,840196373,0,0,848,3203783,4924870,843400156,一卡通票證股份有限公司,筆數,4924022,0,848,4924870,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
112,7,112/07,5852009,5852009,false,,4771029,810917770,0,0,781,2566032,4771810,813483802,一卡通票證股份有限公司,筆數,4771029,0,781,4771810,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
112,6,112/06,5804784,5804784,false,,4502161,745064934,0,0,876,3127804,4503037,748192738,一卡通票證股份有限公司,筆數,4502161,0,876,4503037,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
112,5,112/05,5757518,5757518,false,,4509089,732803665,0,0,967,3217143,4510056,736020808,一卡通票證股份有限公司,筆數,4509089,0,967,4510056,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
112,4,112/04,5707380,5707380,false,,4104795,699293989,0,0,863,2827040,4105658,702121029,一卡通票證股份有限公司,筆數,4104795,0,863,4105658,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
112,3,112/03,5648232,5648232,false,,4028207,645978967,0,0,903,2739163,4029110,648718130,一卡通票證股份有限公司,筆數,4028207,0,903,4029110,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
112,2,112/02,5580436,5580436,false,,3352393,589478004,0,0,758,2326099,3353151,591804103,一卡通票證股份有限公司,筆數,3352393,0,758,3353151,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
