資料月份,筆數,金額,筆數,金額
,"3,373,270","1,528,627,320","20,707,237","512,234,551"
,"2,461,043","1,420,361,705","23,466,120","549,261,452"
,"3,028,840","1,689,629,138","25,402,278","601,088,754"
,"11,043,212","4,094,601,157","23,833,292","577,325,595"
,"11,247,269","3,877,615,502","24,421,533","595,499,436"
,"11,214,941","3,961,565,314","23,383,198","596,019,914"
,"11,597,886","4,071,535,803","23,649,158","627,701,342"
,"11,652,954","4,139,262,509","22,267,311","578,956,187"
,"11,296,814","3,825,105,299","23,131,111","548,325,973"
,"11,537,686","3,985,007,734","24,489,048","567,550,277"
,"10,737,424","3,799,315,520","24,520,802","634,391,243"
,"10,875,703","3,770,518,687","24,592,083","575,189,104"
,"9,380,964","3,557,107,839","22,061,513","508,778,191"
,"9,684,628","3,608,710,978","23,191,557","534,882,408"
,"10,129,468","3,575,822,974","25,865,892","582,903,644"
,"9,789,637","3,587,353,348","24,370,399","548,654,926"
,"9,619,400","3,517,959,806","22,794,893","532,912,065"
,"9,204,290","3,407,952,805","23,630,678","534,989,173"
,"9,567,152","3,522,063,731","24,034,273","571,064,377"
,"9,253,399","3,514,845,737","22,264,350","514,486,714"
,"8,906,688","3,179,337,648","23,594,087","526,687,180"
,"9,125,964","3,205,132,221","25,310,576","558,391,781"
,"8,420,708","3,054,697,086","24,075,114","546,954,491"
,"8,474,545","3,106,637,139","26,311,782","657,508,150"
,"7,235,107","2,951,876,809","23,758,107","606,383,366"
,"7,556,006","2,972,578,839","25,250,888","565,830,629"
,"7,711,427","2,895,049,957","26,591,383","586,198,048"
,"7,349,821","2,873,055,393","25,159,590","548,947,329"
,"7,223,102","2,830,357,732","25,287,590","567,740,015"
,"6,845,300","2,769,735,673","23,937,117","527,039,969"
,"6,857,595","2,751,090,997","24,252,473","555,037,286"
,"6,671,963","2,675,161,801","23,590,378","541,088,415"
,"6,273,408","2,355,033,053","29,405,922","611,877,673"
,"6,337,737","2,414,138,812","29,405,922","611,877,673"
,"5,758,743","2,275,317,819","27,998,124","591,525,017"
,"5,738,045","2,329,851,873","30,422,090","613,273,020"
,"4,918,092","2,180,962,264","26,342,617","547,708,340"
,"4,785,512","2,201,093,773","26,147,866","565,224,974"
,"4,943,577","2,107,241,135","30,684,949","633,981,515"
,"4,849,774","2,097,934,928","28,845,868","586,013,154"
,"4,734,022","2,108,008,203","28,380,505","584,206,711"
,"4,417,164","2,060,529,414","26,453,029","544,731,246"
,"4,577,830","2,096,647,824","25,585,047","557,423,230"
,"4,459,701","2,047,086,717","23,113,862","523,650,087"
,"3,906,987","1,687,070,965","18,022,429","435,036,933"
,"4,127,780","1,834,914,100","18,636,780","429,500,354"
,"4,313,905","1,817,868,184","24,306,318","514,993,328"
,"4,620,325","1,955,485,276","29,907,894","597,070,268"
,"3,850,187","1,761,471,225","21,763,994","467,794,272"
,"4,557,131","1,974,058,197","25,365,378","530,496,653"
,"4,928,633","2,103,591,988","30,779,069","628,618,799"
