yr,mn,ym,c1,c2,c3,c4,c5,c6,editable,[0].amt,[1].amt,1900A,[2].amt,3000A,[3].amt,[4].amt,4900A,[5].amt,6000A,9000A,機構名稱,支付工具,電子支付帳戶,經核准機構辦理跨境代理收付款項餘額,小計(A),儲值款項餘額(B),支付款項餘額(C=A+B),儲值卡,小計(D),儲值款項餘額(E),支付款項餘額(F=D+E),支付款項餘額總計,維護部門名稱,主管姓名,主管電話,承辦人姓名,承辦人電話,承辦人E-MAIL,類型,代理收付款項餘額,儲值款項餘額( B )
115,2,115/02,4301602490,1548712618,5850315108,69214984,2330077903,2399292887,false,4296949910,4652580,4301602490,1548712618,5850315108,69214984,0,69214984,2330077903,2399292887,8249607995,一卡通票證股份有限公司,類型,代理收付款項餘額,0,4301602490,1548712618,5850315108,代理收付款項餘額,69214984,2330077903,2399292887,8249607995,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
115,1,115/01,4525360120,1536712940,6062073060,61170178,2303785096,2364955274,false,4520657659,4702461,4525360120,1536712940,6062073060,61170178,0,61170178,2303785096,2364955274,8427028334,一卡通票證股份有限公司,類型,代理收付款項餘額,0,4525360120,1536712940,6062073060,代理收付款項餘額,61170178,2303785096,2364955274,8427028334,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
114,12,114/12,5372953972,1562100693,6935054665,51229501,2301847183,2353076684,false,5369913327,3040645,5372953972,1562100693,6935054665,51229501,0,51229501,2301847183,2353076684,9288131349,一卡通票證股份有限公司,類型,代理收付款項餘額,0,5372953972,1562100693,6935054665,代理收付款項餘額,51229501,2301847183,2353076684,9288131349,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
114,11,114/11,9337777263,2134407190,11472184453,77901324,2321874416,2399775740,false,9334930257,2847006,9337777263,2134407190,11472184453,77901324,0,77901324,2321874416,2399775740,13871960193,一卡通票證股份有限公司,類型,代理收付款項餘額,0,9337777263,2134407190,11472184453,代理收付款項餘額,77901324,2321874416,2399775740,13871960193,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
114,10,114/10,9385990179,2184623912,11570614091,50328887,2304157158,2354486045,false,9385502268,487911,9385990179,2184623912,11570614091,50328887,0,50328887,2304157158,2354486045,13925100136,一卡通票證股份有限公司,類型,代理收付款項餘額,0,9385990179,2184623912,11570614091,代理收付款項餘額,50328887,2304157158,2354486045,13925100136,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
114,9,114/09,9566619461,2197046297,11763665758,67798670,2294258216,2362056886,false,9564210376,2409085,9566619461,2197046297,11763665758,67798670,0,67798670,2294258216,2362056886,14125722644,一卡通票證股份有限公司,類型,代理收付款項餘額,0,9566619461,2197046297,11763665758,代理收付款項餘額,67798670,2294258216,2362056886,14125722644,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
114,8,114/08,9500712200,2203561830,11704274030,76041946,2280200849,2356242795,false,9498909853,1802347,9500712200,2203561830,11704274030,76041946,0,76041946,2280200849,2356242795,14060516825,一卡通票證股份有限公司,類型,代理收付款項餘額,0,9500712200,2203561830,11704274030,代理收付款項餘額,76041946,2280200849,2356242795,14060516825,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
114,7,114/07,9246205367,2237142529,11483347896,46206465,2262393256,2308599721,false,9245323165,882202,9246205367,2237142529,11483347896,46206465,0,46206465,2262393256,2308599721,13791947617,一卡通票證股份有限公司,類型,代理收付款項餘額,0,9246205367,2237142529,11483347896,代理收付款項餘額,46206465,2262393256,2308599721,13791947617,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
114,6,114/06,10108709659,2331135115,12439844774,53076839,2244167387,2297244226,false,10106713727,1995932,10108709659,2331135115,12439844774,53076839,0,53076839,2244167387,2297244226,14737089000,一卡通票證股份有限公司,類型,代理收付款項餘額,0,10108709659,2331135115,12439844774,代理收付款項餘額,53076839,2244167387,2297244226,14737089000,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
114,5,114/05,10025620296,2317174780,12342795076,92790547,2246034679,2338825226,false,10023279309,2340987,10025620296,2317174780,12342795076,92790547,0,92790547,2246034679,2338825226,14681620302,一卡通票證股份有限公司,類型,代理收付款項餘額,0,10025620296,2317174780,12342795076,代理收付款項餘額,92790547,2246034679,2338825226,14681620302,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
