yr,mn,ym,c1,c2,c3,editable,[0].amt,[1].amt,[2].amt,[3].amt,[4].amt,[5].amt,[6].amt,[7].amt,[8].amt,[9].amt,[10].amt,[11].amt,[12].amt,[13].amt,[14].amt,[15].amt,[16].amt,[17].amt,[18].amt,[19].amt,[20].amt,[21].amt,[22].amt,[23].amt,_1900A,_1900B,_1900C,機構名稱,申訴類別,新增案件數,註冊、開戶或記名問題,儲值卡購買及持有問題,手續費等各種收費問題,使用問題,款項退還及退款問題,款項提領問題,偽冒交易問題,其他,小計,維護部門名稱,主管姓名,主管電話,承辦人姓名,承辦人電話,承辦人E-MAIL,[24].amt,[25].amt,[26].amt,[27].amt,[28].amt,[29].amt,[30].amt,[31].amt,[32].amt,[33].amt,[34].amt,[35].amt,[36].amt,[37].amt,[38].amt,[39].amt,[40].amt,[41].amt,_2900A,_2900B,_2900C,_3000A,_3000B,_3000C,項目,代理收付實質交易款項、收受儲值款項、電子支付帳戶間款項移轉業務,退款問題,與境外機構合作或協助從事電子支付機構業務相關行為,總計
115,2,115/02,14618,14608,10,false,7256,7253,3,1068,1068,0,29,29,0,2693,2691,2,949,948,1,166,166,0,0,0,0,2457,2453,4,14618,14608,10,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],7256,1068,29,2693,949,166,0,2457,14618,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1,115/01,24502,24488,14,false,14161,14157,4,1375,1375,0,70,70,0,3700,3693,7,1171,1171,0,347,347,0,0,0,0,3678,3675,3,24502,24488,14,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],14161,1375,70,3700,1171,347,0,3678,24502,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,12,114/12,41699,40045,1654,false,27782,26492,1290,1339,1339,0,105,105,0,4918,4674,244,1738,1738,0,1789,1729,60,0,0,0,4028,3968,60,41699,40045,1654,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],27782,1339,105,4918,1738,1789,0,4028,41699,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,11,114/11,25663,25646,17,false,17388,17376,12,1136,1136,0,28,28,0,3268,3265,3,1540,1539,1,241,241,0,0,0,0,2062,2061,1,25663,25646,17,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],17388,1136,28,3268,1540,241,0,2062,25663,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,10,114/10,25218,25200,18,false,16827,16819,8,1128,1128,0,32,32,0,3439,3432,7,1402,1401,1,266,266,0,0,0,0,2124,2122,2,25218,25200,18,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],16827,1128,32,3439,1402,266,0,2124,25218,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,9,114/09,27481,27479,2,false,19011,19010,1,1209,1209,0,23,23,0,3512,3512,0,1349,1348,1,302,302,0,0,0,0,2075,2075,0,27481,27479,2,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],19011,1209,23,3512,1349,302,0,2075,27481,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,8,114/08,28415,28396,19,false,19648,19642,6,1138,1138,0,22,22,0,3252,3248,4,1388,1388,0,336,336,0,0,0,0,2631,2622,9,28415,28396,19,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],19648,1138,22,3252,1388,336,0,2631,28415,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,7,114/07,31754,32666,88,false,22416,22375,41,1192,1192,0,38,38,0,3832,3803,29,1499,1496,3,370,369,1,0,0,0,2407,3393,14,31754,32666,88,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],22416,1192,38,3832,1499,370,0,2407,31754,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,6,114/06,23397,23385,12,false,14416,14410,6,1158,1158,0,25,25,0,3178,3177,1,1539,1536,3,332,331,1,0,0,0,2749,2748,1,23397,23385,12,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],14416,1158,25,3178,1539,332,0,2749,23397,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,5,114/05,22817,22809,8,false,14277,14273,4,1142,1142,0,22,22,0,3224,3224,0,1541,1540,1,282,282,0,0,0,0,2329,2326,3,22817,22809,8,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],14277,1142,22,3224,1541,282,0,2329,22817,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,4,114/04,23315,23306,9,false,14498,14493,5,1222,1222,0,44,44,0,3311,3310,1,1423,1421,2,350,350,0,0,0,0,2467,2466,1,23315,23306,9,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],14498,1222,44,3311,1423,350,0,2467,23315,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,3,114/03,26276,26270,6,false,16344,16339,5,1291,1291,0,39,39,0,3545,3544,1,1454,1454,0,273,273,0,0,0,0,3330,3330,0,26276,26270,6,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],16344,1291,39,3545,1454,273,0,3330,26276,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
