yr,mn,ym,c1,c2,editable,[0].amt,[1].amt,[2].amt,_2900A,[3].amt,[4].amt,[5].amt,_4900A,機構名稱,客戶類別,付款方客戶,符合第二類電子支付帳戶之認證程序,符合第三類電子支付帳戶之認證程序,合計,記名儲值卡,收款方客戶,維護部門名稱,主管姓名,主管電話,承辦人姓名,承辦人電話,承辦人E-MAIL
115,2,115/02,7032755,0,false,0,7032755,0,7032755,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
115,1,115/01,7001916,0,false,0,7001916,0,7001916,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,12,114/12,6983119,0,false,0,6983119,0,6983119,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,11,114/11,6960854,0,false,0,6960854,0,6960854,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,10,114/10,6935695,0,false,0,6935695,0,6935695,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,9,114/09,6907116,0,false,0,6907116,0,6907116,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,8,114/08,6874185,0,false,0,6874185,0,6874185,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,7,114/07,6842983,0,false,0,6842983,0,6842983,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,6,114/06,6807625,0,false,0,6807625,0,6807625,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,5,114/05,6769503,0,false,0,6769503,0,6769503,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,4,114/04,6731239,0,false,0,6731239,0,6731239,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,3,114/03,6695093,0,false,0,6695093,0,6695093,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,2,114/02,6654135,0,false,0,6654135,0,6654135,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
