yr,mn,ym,c1,c2,c3,editable,[0].amt,[1].amt,[2].amt,[3].amt,[4].amt,[5].amt,[6].amt,[7].amt,[8].amt,[9].amt,_1999A,_1999B,[10].amt,[11].amt,[12].amt,[13].amt,_2999A,_2999B,[14].amt,[15].amt,[16].amt,[17].amt,_3999A,_3999B,_4999A,_4999B,機構名稱,本國籍客戶,非個人客戶,法人,行號,其他團體,小計 (A),外國籍客戶(含取得居留證者),非個人客戶(限法人),小計 (B),大陸地區以外,小計 (C),總計 (D = A + B + C),維護部門名稱,主管姓名,主管電話,承辦人姓名,承辦人電話,承辦人E-MAIL
115,2,115/02,7032755,0,7032755,false,7032755,0,0,0,0,0,0,0,0,0,7032755,0,0,0,0,0,0,0,0,0,0,0,0,0,7032755,0,一卡通票證股份有限公司,個人客戶,政府機關,0,0,0,7032755,大陸地區,0,0,個人客戶,0,7032755,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
115,1,115/01,7001916,0,7001916,false,7001916,0,0,0,0,0,0,0,0,0,7001916,0,0,0,0,0,0,0,0,0,0,0,0,0,7001916,0,一卡通票證股份有限公司,個人客戶,政府機關,0,0,0,7001916,大陸地區,0,0,個人客戶,0,7001916,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,12,114/12,6983119,0,6983119,false,6983119,0,0,0,0,0,0,0,0,0,6983119,0,0,0,0,0,0,0,0,0,0,0,0,0,6983119,0,一卡通票證股份有限公司,個人客戶,政府機關,0,0,0,6983119,大陸地區,0,0,個人客戶,0,6983119,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,11,114/11,6960854,0,6960854,false,6960854,0,0,0,0,0,0,0,0,0,6960854,0,0,0,0,0,0,0,0,0,0,0,0,0,6960854,0,一卡通票證股份有限公司,個人客戶,政府機關,0,0,0,6960854,大陸地區,0,0,個人客戶,0,6960854,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,10,114/10,6935695,0,6935695,false,6935695,0,0,0,0,0,0,0,0,0,6935695,0,0,0,0,0,0,0,0,0,0,0,0,0,6935695,0,一卡通票證股份有限公司,個人客戶,政府機關,0,0,0,6935695,大陸地區,0,0,個人客戶,0,6935695,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,9,114/09,6907116,0,6907116,false,6907116,0,0,0,0,0,0,0,0,0,6907116,0,0,0,0,0,0,0,0,0,0,0,0,0,6907116,0,一卡通票證股份有限公司,個人客戶,政府機關,0,0,0,6907116,大陸地區,0,0,個人客戶,0,6907116,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,8,114/08,6874185,0,6874185,false,6874185,0,0,0,0,0,0,0,0,0,6874185,0,0,0,0,0,0,0,0,0,0,0,0,0,6874185,0,一卡通票證股份有限公司,個人客戶,政府機關,0,0,0,6874185,大陸地區,0,0,個人客戶,0,6874185,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,7,114/07,6842983,0,6842983,false,6842983,0,0,0,0,0,0,0,0,0,6842983,0,0,0,0,0,0,0,0,0,0,0,0,0,6842983,0,一卡通票證股份有限公司,個人客戶,政府機關,0,0,0,6842983,大陸地區,0,0,個人客戶,0,6842983,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,6,114/06,6807625,0,6807625,false,6807625,0,0,0,0,0,0,0,0,0,6807625,0,0,0,0,0,0,0,0,0,0,0,0,0,6807625,0,一卡通票證股份有限公司,個人客戶,政府機關,0,0,0,6807625,大陸地區,0,0,個人客戶,0,6807625,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,5,114/05,6769503,0,6769503,false,6769503,0,0,0,0,0,0,0,0,0,6769503,0,0,0,0,0,0,0,0,0,0,0,0,0,6769503,0,一卡通票證股份有限公司,個人客戶,政府機關,0,0,0,6769503,大陸地區,0,0,個人客戶,0,6769503,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,4,114/04,6731239,0,6731239,false,6731239,0,0,0,0,0,0,0,0,0,6731239,0,0,0,0,0,0,0,0,0,0,0,0,0,6731239,0,一卡通票證股份有限公司,個人客戶,政府機關,0,0,0,6731239,大陸地區,0,0,個人客戶,0,6731239,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,3,114/03,6695093,0,6695093,false,6695093,0,0,0,0,0,0,0,0,0,6695093,0,0,0,0,0,0,0,0,0,0,0,0,0,6695093,0,一卡通票證股份有限公司,個人客戶,政府機關,0,0,0,6695093,大陸地區,0,0,個人客戶,0,6695093,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,2,114/02,6654135,0,6654135,false,6654135,0,0,0,0,0,0,0,0,0,6654135,0,0,0,0,0,0,0,0,0,0,0,0,0,6654135,0,一卡通票證股份有限公司,個人客戶,政府機關,0,0,0,6654135,大陸地區,0,0,個人客戶,0,6654135,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,1,114/01,6605548,0,6605548,false,6605548,0,0,0,0,0,0,0,0,0,6605548,0,0,0,0,0,0,0,0,0,0,0,0,0,6605548,0,一卡通票證股份有限公司,個人客戶,政府機關,0,0,0,6605548,大陸地區,0,0,個人客戶,0,6605548,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
113,12,113/12,6516426,0,6516426,false,6516426,0,0,0,0,0,0,0,0,0,6516426,0,0,0,0,0,0,0,0,0,0,0,0,0,6516426,0,一卡通票證股份有限公司,個人客戶,政府機關,0,0,0,6516426,大陸地區,0,0,個人客戶,0,6516426,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
113,11,113/11,6473027,0,6473027,false,6473027,0,0,0,0,0,0,0,0,0,6473027,0,0,0,0,0,0,0,0,0,0,0,0,0,6473027,0,一卡通票證股份有限公司,個人客戶,政府機關,0,0,0,6473027,大陸地區,0,0,個人客戶,0,6473027,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
113,10,113/10,6432236,0,6432236,false,6432236,0,0,0,0,0,0,0,0,0,6432236,0,0,0,0,0,0,0,0,0,0,0,0,0,6432236,0,一卡通票證股份有限公司,個人客戶,政府機關,0,0,0,6432236,大陸地區,0,0,個人客戶,0,6432236,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
