yr,mn,ym,c1,c2,c3,c4,editable,[0].amt,[1].amt,[2].amt,[3].amt,[4].amt,[5].amt,_2900A,_2900B,[6].amt,[7].amt,[8].amt,[9].amt,[10].amt,[11].amt,_4900A,_4900B,機構名稱,客戶類別,付款方客戶,符合第二類電子支付帳戶之認證程序,符合第三類電子支付帳戶之認證程序,合計,記名儲值卡,收款方客戶,維護部門名稱,主管姓名,主管電話,承辦人姓名,承辦人電話,承辦人E-MAIL,類別,符合第一類電子支付帳戶之認證程序,總計
115,2,115/02,55265,38342575,0,0,false,0,0,55265,38342575,0,0,55265,38342575,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
115,1,115/01,73285,47850040,0,0,false,0,0,73285,47850040,0,0,73285,47850040,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
114,12,114/12,63040,41327403,0,0,false,0,0,63040,41327403,0,0,63040,41327403,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
114,11,114/11,22485,14166136,0,0,false,0,0,22485,14166136,0,0,22485,14166136,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
114,10,114/10,22385,27152007,0,0,false,0,0,22385,27152007,0,0,22385,27152007,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
114,9,114/09,19990,12598459,0,0,false,0,0,19990,12598459,0,0,19990,12598459,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
114,8,114/08,22653,14179253,0,0,false,0,0,22653,14179253,0,0,22653,14179253,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
114,7,114/07,22641,13612470,0,0,false,0,0,22641,13612470,0,0,22641,13612470,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
114,6,114/06,22905,14359569,0,0,false,0,0,22905,14359569,0,0,22905,14359569,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
114,5,114/05,21705,13724632,0,0,false,0,0,21705,13724632,0,0,21705,13724632,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
114,4,114/04,19493,12702243,0,0,false,0,0,19493,12702243,0,0,19493,12702243,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
114,3,114/03,29192,18994799,0,0,false,0,0,29192,18994799,0,0,29192,18994799,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
114,2,114/02,28057,18642956,0,0,false,0,0,28057,18642956,0,0,28057,18642956,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
114,1,114/01,29003,18823748,0,0,false,0,0,29003,18823748,0,0,29003,18823748,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
113,12,113/12,24520,15802530,0,0,true,0,0,24520,15802530,0,0,24520,15802530,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
113,11,113/11,14599,9463227,0,0,false,0,0,14599,9463227,0,0,14599,9463227,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
113,10,113/10,216,146012,0,0,false,0,0,216,146012,0,0,216,146012,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,類別,符合第一類電子支付帳戶之認證程序,0,0,0,0,符合第一類電子支付帳戶之認證程序,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
107,10,107/10,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,一卡通票證股份有限公司,,,0,0,,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,筆數,0,0
