yr,mn,ym,c1,c2,c3,c5,c6,editable,[0].amt,[1].amt,[2].amt,[3].amt,[4].amt,[5].amt,[6].amt,[7].amt,[8].amt,[9].amt,[10].amt,[11].amt,[12].amt,[13].amt,[14].amt,[15].amt,[16].amt,[17].amt,[18].amt,[19].amt,[20].amt,2900A,2900B,2900C,[21].amt,[22].amt,[23].amt,[24].amt,[25].amt,[26].amt,3900A,3900B,3900C,機構名稱,本國籍,非個人客戶,法人,行號,其他團體,外國籍(含取得居留證者),小計,大陸地區以外,維護部門名稱,主管姓名,主管電話,承辦人姓名,承辦人電話,承辦人E-MAIL
115,2,115/02,7660,55265,38342575,128550,86192615,false,7660,55265,38342575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,個人客戶,0,0,0,0,大陸地區,0,個人客戶,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
115,1,115/01,10135,73285,47850040,73285,47850040,false,10135,73285,47850040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,個人客戶,0,0,0,0,大陸地區,0,個人客戶,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,12,114/12,9297,63040,41327403,323549,220283675,false,9297,63040,41327403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,個人客戶,0,0,0,0,大陸地區,0,個人客戶,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,11,114/11,3176,22485,14166136,260509,178956272,false,3176,22485,14166136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,個人客戶,0,0,0,0,大陸地區,0,個人客戶,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,10,114/10,3116,22385,27152007,238024,164790136,false,3116,22385,27152007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,個人客戶,0,0,0,0,大陸地區,0,個人客戶,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,9,114/09,2605,19990,12598459,215639,137638129,false,2605,19990,12598459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,個人客戶,0,0,0,0,大陸地區,0,個人客戶,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,8,114/08,2872,22653,14179253,195649,125039670,false,2872,22653,14179253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,個人客戶,0,0,0,0,大陸地區,0,個人客戶,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,7,114/07,2649,22641,13612470,172996,110860417,false,2649,22641,13612470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,個人客戶,0,0,0,0,大陸地區,0,個人客戶,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,6,114/06,2801,22905,14359569,150355,97247947,false,2801,22905,14359569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,個人客戶,0,0,0,0,大陸地區,0,個人客戶,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
114,5,114/05,2833,21705,13724632,127450,82888378,false,2833,21705,13724632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,個人客戶,0,0,0,0,大陸地區,0,個人客戶,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
