yr,mn,ym,c1,c2,c3,editable,[0].amt,[1].amt,[2].amt,[3].amt,[4].amt,[5].amt,[6].amt,[7].amt,[8].amt,[9].amt,[10].amt,[11].amt,[12].amt,[13].amt,[14].amt,[15].amt,[16].amt,[17].amt,[18].amt,[19].amt,[20].amt,_1900A,_1900B,_1900C,機構名稱,申訴類別,新增案件數,註冊或開戶問題,手續費等各種收費問題,使用問題,退款問題,款項提領問題,偽冒交易問題,其他,小計,維護部門名稱,主管姓名,主管電話,承辦人姓名,承辦人電話,承辦人E-MAIL
115,2,115/02,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],0,0,0,0,0,0,0,0,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw
115,1,115/01,3,3,0,false,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],0,0,3,0,0,0,0,3,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw
114,12,114/12,1,1,0,false,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],0,0,1,0,0,0,0,1,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw
114,11,114/11,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],0,0,0,0,0,0,0,0,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw
114,10,114/10,10,10,0,false,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],0,0,10,0,0,0,0,10,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw
114,9,114/09,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],0,0,0,0,0,0,0,0,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw
114,8,114/08,1,0,0,false,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],0,0,1,0,0,0,0,1,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw
114,7,114/07,1,1,0,false,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],0,0,1,0,0,0,0,1,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw
114,6,114/06,4,4,0,false,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],0,0,4,0,0,0,0,4,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw
114,5,114/05,3,3,0,false,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],0,0,3,0,0,0,0,3,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw
114,4,114/04,4,4,0,false,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],0,0,4,0,0,0,0,4,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw
114,3,114/03,4,4,0,false,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],0,0,0,4,0,0,0,4,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw
114,2,114/02,1,1,0,false,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],0,0,1,0,0,0,0,1,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw
