yr,mn,ym,bank_no,cards,xact,amt,editable,[0].cards,[0].xact,[0].amt,[1].cards,[1].xact,[1].amt,[2].cards,[2].xact,[2].amt,[3].cards,[3].xact,[3].amt,[4].cards,[4].xact,[4].amt,[5].cards,[5].xact,[5].amt,[6].cards,[6].xact,[6].amt,機構名稱,資料月份,業務項目/合作對象,NFC行動儲值卡(不含聯名卡)－(預先加載Preload) / 台灣大哥大,NFC行動儲值卡(不含聯名卡)－(空中下載Over The Air) / 中華電信,NFC行動儲值卡(不含聯名卡)－(空中下載Over The Air) / 台灣大哥大,NFC行動儲值卡(不含聯名卡)－(空中下載Over The Air) / 遠傳電信,NFC行動儲值卡(不含聯名卡)－(空中下載Over The Air) / 亞太電信,NFC行動儲值卡(聯名卡)－(空中下載Over The Air) / 中華電信/中國信託商業銀行,NFC行動儲值卡(聯名卡)－(空中下載Over The Air) / 中華電信/聯邦商業銀行,維護部門名稱,主管姓名,主管電話,承辦人姓名,承辦人電話,承辦人E-MAIL
115,2,115/02,391,778112,6035723,231443809,false,85370,459373,13785505,523768,3927967,168290994,122965,955057,28528898,39865,235362,6972477,640,25685,623529,4231,286425,10284180,1273,145854,2958226,一卡通票證股份有限公司,115 年 02 月,發卡數,85370,523768,122965,39865,640,4231,1273,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
115,1,115/01,391,778092,6025878,231081651,false,85370,458966,13776101,523748,3919414,167963888,122965,954270,28506405,39865,235264,6969322,640,25685,623529,4231,286425,10284180,1273,145854,2958226,一卡通票證股份有限公司,115 年 01 月,發卡數,85370,523748,122965,39865,640,4231,1273,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
114,12,114/12,391,778063,6014699,230664658,false,85370,458423,13761630,523719,3909707,167590864,122965,953413,28479148,39865,235193,6967136,640,25684,623474,4231,286425,10284180,1273,145854,2958226,一卡通票證股份有限公司,114 年 12 月,發卡數,85370,523719,122965,39865,640,4231,1273,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
114,11,114/11,391,778029,6002853,230243637,false,85370,457870,13745911,523685,3899253,167211330,122965,952652,28455621,39865,235116,6964950,640,25683,623419,4231,286425,10284180,1273,145854,2958226,一卡通票證股份有限公司,114 年 11 月,發卡數,85370,523685,122965,39865,640,4231,1273,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
114,10,114/10,391,777989,5991515,229825312,false,85370,457348,13733122,523645,3889311,166834531,122965,951895,28430525,39865,235003,6961409,640,25679,623319,4231,286425,10284180,1273,145854,2958226,一卡通票證股份有限公司,114 年 10 月,發卡數,85370,523645,122965,39865,640,4231,1273,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
114,9,114/09,391,777926,5979776,229387007,false,85370,456840,13720013,523592,3879141,166443767,122965,951014,28401770,39865,234834,6956017,640,25679,623319,4221,286415,10283920,1273,145853,2958201,一卡通票證股份有限公司,114 年 09 月,發卡數,85370,523592,122965,39865,640,4221,1273,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
114,8,114/08,391,777901,5967999,228927468,false,85370,456303,13705096,523567,3868779,166032134,122965,950282,28376481,39865,234702,6948742,640,25677,623224,4221,286404,10283590,1273,145852,2958201,一卡通票證股份有限公司,114 年 08 月,發卡數,85370,523567,122965,39865,640,4221,1273,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
114,7,114/07,391,777867,5955084,228425503,false,85370,455596,13688134,523533,3857457,165582396,122965,949561,28348137,39865,234562,6942369,640,25675,623129,4221,286386,10283137,1273,145847,2958201,一卡通票證股份有限公司,114 年 07 月,發卡數,85370,523533,122965,39865,640,4221,1273,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
114,6,114/06,391,777833,5942100,227924564,false,85370,454897,13671471,523499,3846285,165140978,122965,948722,28313197,39865,234429,6936611,640,25673,623034,4221,286257,10281164,1273,145837,2958109,一卡通票證股份有限公司,114 年 06 月,發卡數,85370,523499,122965,39865,640,4221,1273,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
114,5,114/05,391,777776,5928966,227449946,false,85370,454200,13657179,523442,3834960,164718212,122965,947928,28284887,39865,234325,6930783,640,25672,622984,4221,286075,10278146,1273,145806,2957755,一卡通票證股份有限公司,114 年 05 月,發卡數,85370,523442,122965,39865,640,4221,1273,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
